Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
ON NM,PLANOEPLANO ON NM,Construção Civil,Incorporações,15.1,2025-10-24,7.84,18.00,16313500,3078910000.0,3262940000.0,2025-06-30,203901000.0,8.61,338.0,414.0,111.0,101.0,164.0,616.0,0.67,427.0,439.0,2.7,1.75,4.47,3.3200000000000003,2.67,1.51,2.44,3.4299999999999997,3.9200000000000004,374.0,81.0,91.0,3049800000,,,911158000,,,357510000,,,83539000,553766000,2561500000,737803000,184037000,2783420000,743053000,783815000,143609000,PLPL3,0.57811,9.18
ON,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos,9.45,2025-10-24,7.75,10.33,2850410,1421060000.0,2448620000.0,2025-06-30,150377000.0,12.11,115.0,730.0,28.0,43.0,173.0,-797.0,0.31,588.0,1258.0,1.4300000000000002,0.78,8.21,3.2,0.38,0.22999999999999998,0.5900000000000001,0.77,0.95,175.0,99.0,155.0,3326450000,,,1234100000,,,117385000,,,25090000,194052000,1914040000,1221610000,1027560000,5155270000,194721000,1313750000,55333000,PNVL3,0.37558,23.49
ON,MARCOPOLO ON,Material de Transporte,Material Rodoviário,7.51,2025-10-24,4.44,8.41,3670160,8533390000.0,9890280000.0,2025-06-30,1136270000.0,7.07,204.0,622.0,95.0,90.0,321.0,1899.0,0.8300000000000001,644.0,721.0,2.81,1.06,3.67,2.4699999999999998,1.53,1.3599999999999999,1.45,2.0,2.8899999999999997,187.0,79.0,94.0,9494730000,,,4175410000,,,1206420000,,,319344000,1954670000,5717710000,3311550000,1356880000,8963590000,1372670000,2305080000,371153000,POMO3,0.58805,10.62
PN N2,MARCOPOLO PN N2,Material de Transporte,Material Rodoviário,8.69,2025-10-24,5.70,9.88,81828600,9874190000.0,11231100000.0,2025-06-30,1136270000.0,8.18,236.0,719.0,110.0,104.0,372.0,2197.0,0.71,731.0,818.0,2.81,1.06,3.67,2.4699999999999998,1.53,1.3599999999999999,1.45,2.0,2.8899999999999997,187.0,79.0,94.0,9494730000,,,4175410000,,,1206420000,,,319344000,1954670000,5717710000,3311550000,1356880000,8963590000,1372670000,2305080000,371153000,POMO4,0.58207,10.62
ON NM,WILSON SONS ON NM,Transporte,Serviços de Apoio e Armazenagem,18.48,2025-10-24,14.92,18.50,23407000,8185380000.0,10574900000.0,2025-06-30,442932000.0,11.79,315.0,883.0,262.0,130.0,-5278.0,-297.0,0.41,834.0,1140.0,0.55,1.57,5.87,4.83,2.96,2.2399999999999998,1.48,1.6,2.67,86.0,103.0,50.0,6278710000,,,2601000000,,,694233000,,,166288000,284092000,923359000,2673580000,2389490000,3128760000,927492000,770403000,193970000,PORT3,0.4826,13.91
ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",37.05,2025-10-24,32.89,44.03,275001000,33209600000.0,51485400000.0,2025-06-30,896346000.0,3.14,127.0,779.0,232.0,60.0,1050.0,-164.0,0.0,622.0,1207.0,4.87,11.81,29.21,3.47,2.98,7.390000000000001,0.77,0.86,4.04,154.0,88.0,26.0,55437700000,,,26180900000,,,10589400000,,,680674000,4759560000,9062140000,23035300000,18275800000,14334000000,4265840000,3327790000,349102000,PRIO3,0.0,5.12
ON NM,PRINER ON NM,Serviços Diversos,Serviços Diversos,15.33,2025-10-24,12.80,17.84,6937990,869533000.0,1231770000.0,2025-06-30,56721000.0,79.15,256.0,773.0,62.0,61.0,209.0,-330.0,0.03,699.0,1095.0,4.29,0.19,6.0,2.2,0.8,0.22999999999999998,0.79,1.1,0.32,206.0,215.0,99.0,1429340000,,,340311000,,,10986000,,,-2092000,367896000,806837000,730136000,362240000,1409630000,112454000,361894000,21538000,PRNR3,0.24205,21.45
ON,PORTO SEGURO SA ON,Previdência e Seguros,Seguradoras,47.08,2025-10-24,33.38,56.14,115488000,30441300000.0,20487500000.0,2025-06-30,646586000.0,9.76,210.0,100.0,82.0,60.0,950.0,-365.0,0.4,66.0,67.0,1.78,4.83,22.4,10.0,8.17,0.85,5.99,7.44,2.15,113.0,,73.0,50945000000,,,14482200000,,,3120170000,,,878054000,9953740000,28063300000,0,-9953740000,37343700000,30516200000,10047800000,8256430000,PSSA3,0.3899,9.38
ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,19.58,2025-10-24,13.31,25.59,182114000,33638600000.0,36729700000.0,2025-06-30,1718010000.0,27.5,504.0,1425.0,82.0,146.0,890.0,-1089.0,0.18,864.0,1555.0,1.6800000000000002,0.71,3.88,2.94,0.58,0.3,1.02,1.41,1.83,140.0,55.0,178.0,23052500000,,,6671830000,,,1223390000,,,374004000,605299000,13277600000,3696400000,3091110000,40965900000,2361330000,10831000000,719385000,RADL3,0.49639,23.49
ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,15.38,2025-10-24,14.11,19.91,229072000,28588800000.0,43729300000.0,2025-06-30,1858830000.0,44.32,213.0,503.0,206.0,57.0,843.0,-102.0,0.53,475.0,769.0,1.75,0.35,7.21,4.62,4.09,0.48,1.1199999999999999,1.3,0.48,162.0,158.0,27.0,50595300000,,,13404700000,,,645049000,,,328816000,6091530000,8862410000,21232100000,15140500000,13893800000,5685900000,3711390000,1643230000,RAIL3,2.32897,44.32
ON,IRANI ON,Madeira e Papel,Papel e Celulose,8.48,2025-10-24,5.89,8.91,5792880,1954650000.0,3109630000.0,2025-06-30,230501000.0,5.05,137.0,441.0,116.0,52.0,233.0,-177.0,0.9,480.0,702.0,0.44000000000000006,1.68,6.17,4.16,2.63,2.29,1.1800000000000002,1.48,2.7199999999999998,308.0,125.0,45.0,3768110000,,,1422130000,,,386757000,,,104247000,627105000,1243760000,1782090000,1154980000,1687260000,443057000,413774000,155935000,RANI3,0.45429,9.83
PN N1,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,Material de Transporte,Material Rodoviário,5.98,2025-10-24,5.24,10.89,19812800,2091360000.0,9331030000.0,2025-06-30,349725000.0,10.61,68.0,164.0,16.0,12.0,45.0,-52.0,0.4,549.0,732.0,1.28,0.56,8.74,2.58,0.99,0.33999999999999997,0.73,0.8800000000000001,0.64,204.0,293.0,74.0,17465400000,,,3056780000,,,197091000,,,-34929000,1725990000,9104660000,8965670000,7239680000,12883100000,1275450000,3298380000,242585000,RAPT4,0.42714,10.62
ON NM,REDE D OR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,42.26,2025-10-24,24.78,42.30,173213000,96745500000.0,94184700000.0,2025-06-30,2289290000.0,23.52,381.0,1152.0,183.0,92.0,269.0,-421.0,0.19,927.0,1122.0,3.45,1.8,11.08,1.98,1.59,0.8,0.79,1.3199999999999998,1.6199999999999999,289.0,150.0,50.0,105710000000,,,25362500000,,,4112780000,,,1001590000,40546500000,54856900000,37985700000,-2560790000,52806000000,8394630000,13960800000,2377790000,RDOR3,0.44608,21.92
ON NM,PETRORECONCA ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",12.48,2025-10-24,11.81,16.34,27937000,3662530000.0,4835380000.0,2025-06-30,293472000.0,5.58,83.0,393.0,109.0,51.0,587.0,-225.0,1.7600000000000002,293.0,519.0,1.81,2.24,15.12,3.4899999999999998,2.77,1.95,1.29,1.5,1.48,222.0,41.0,47.0,7201850000,,,4438630000,,,656952000,,,238139000,651548000,1135280000,1824400000,1172850000,3360620000,930918000,806302000,186737000,RECV3,0.98057,5.12
ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,38.75,2025-10-24,26.71,44.03,283721000,41951600000.0,75271800000.0,2025-06-30,1082620000.0,18.04,165.0,515.0,106.0,52.0,969.0,-109.0,0.49000000000000005,567.0,924.0,4.279999999999999,2.15,23.54,2.85,2.06,0.5900000000000001,1.0,1.23,0.9099999999999999,133.0,163.0,49.0,81318700000,,,25487200000,,,2325430000,,,-167098000,8249250000,17427500000,41569500000,33320300000,39575500000,8150560000,9900110000,2020420000,RENT3,0.88314,16.81
UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,34.45,2025-10-24,24.38,37.82,41897200,10412200000.0,15714000000.0,2025-06-30,1511210000.0,4.6,88.0,534.0,149.0,42.0,2010.0,-102.0,0.64,618.0,806.0,0.95,7.48,38.99,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR11,0.29476,10.2
ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,7.07,2025-10-24,4.71,8.06,1611140,10684200000.0,15986000000.0,2025-06-30,1511210000.0,4.72,91.0,548.0,153.0,43.0,2063.0,-105.0,0.58,628.0,820.0,0.95,1.5,7.8,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR3,0.27337,10.2
PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,6.79,2025-10-24,4.87,7.42,7780860,10261100000.0,15562800000.0,2025-06-30,1511210000.0,4.54,87.0,526.0,147.0,41.0,1981.0,-101.0,0.6599999999999999,612.0,798.0,0.95,1.5,7.8,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR4,0.29876,10.2
ON,GRUPO SBF ON,Comércio,Produtos Diversos,12.37,2025-10-24,9.26,13.92,23187000,3025150000.0,5201790000.0,2025-06-30,244555000.0,7.9,104.0,527.0,41.0,36.0,302.0,-226.0,0.44000000000000006,511.0,906.0,1.73,1.57,11.9,4.91,0.78,0.52,0.6799999999999999,0.8400000000000001,1.3199999999999998,131.0,90.0,87.0,8435540000,,,2910560000,,,383157000,,,46411000,429032000,4189090000,2605680000,2176640000,7314620000,574081000,1817700000,106712000,SBFG3,0.34668,7.9
ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,133.11,2025-10-24,84.12,133.11,369132000,90982000000.0,114340000000.0,2025-06-30,683510000.0,8.15,225.0,505.0,226.0,103.0,3282.0,-260.0,0.27999999999999997,564.0,634.0,2.0,16.33,59.17,5.3100000000000005,4.4799999999999995,2.7800000000000002,2.0300000000000002,2.27,2.7600000000000002,126.0,77.0,45.0,88719900000,,,40444100000,,,11164900000,,,2135960000,7925590000,13234400000,31283500000,23358000000,40226500000,18025700000,8964530000,3303650000,SBSP3,0.22824,10.2
ON NM,SER EDUCA ON NM,Diversos,Serviços Educacionais,10.69,2025-10-24,3.93,11.43,6486460,1376040000.0,1954800000.0,2025-06-30,128722000.0,14.89,105.0,339.0,65.0,41.0,557.0,-124.0,0.13999999999999999,312.0,481.0,1.26,0.72,10.21,5.83,1.9100000000000001,0.43,1.2,1.3199999999999998,0.7,135.0,63.0,63.0,3377910000,,,1314460000,,,92440000,,,81326000,250983000,952940000,829748000,578765000,2127590000,406368000,589237000,144412000,SEER3,0.20786,8.7
PN,SCHULZ PN,Máquinas e Equipamentos,"Motores, Compressores e Outros",4.64,2025-10-24,4.43,6.03,3031050,1658220000.0,1559880000.0,2025-06-30,357375000.0,6.14,110.0,983.0,82.0,59.0,137.0,324.0,0.73,653.0,924.0,0.74,0.76,4.24,2.57,0.8400000000000001,1.34,0.6,0.97,1.78,304.0,54.0,72.0,2807640000,,,1513810000,,,269941000,,,74040000,910228000,1804860000,811886000,-98342000,2015190000,168765000,538526000,53644000,SHUL4,0.44568,26.59
ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,15.92,2025-10-24,15.65,20.25,29672600,7057810000.0,12890200000.0,2025-06-30,443330000.0,11.99,136.0,415.0,80.0,40.0,217.0,-152.0,0.33999999999999997,626.0,758.0,0.9800000000000001,1.33,11.68,2.92,1.9300000000000002,0.6599999999999999,0.97,1.08,1.1400000000000001,173.0,135.0,50.0,17610700000,,,5179100000,,,588584000,,,161688000,1149610000,7720450000,6982050000,5832430000,8786440000,1699670000,2254860000,474092000,SLCE3,0.40698,10.0
ON NM,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas,25.85,2025-10-24,16.51,26.73,80452400,15438900000.0,18658700000.0,2025-06-30,597250000.0,29.1,274.0,1019.0,240.0,84.0,1245.0,-175.0,0.24,604.0,1232.0,4.83,0.89,9.44,4.24,2.3600000000000003,0.8300000000000001,0.82,0.99,0.9400000000000001,145.0,106.0,35.0,18456000000,,,5639220000,,,530457000,,,159789000,2732550000,3965930000,5952370000,3219820000,6432050000,1514760000,1791140000,441831000,SMFT3,0.69708,29.1
ON NM,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,14.62,2025-10-24,14.62,26.10,34691000,4860200000.0,12394100000.0,2025-06-30,332435000.0,9.47,70.0,445.0,66.0,22.0,123.0,-58.0,0.62,342.0,1134.0,1.1800000000000002,1.54,20.86,2.31,1.48,0.7,0.5,0.5900000000000001,0.74,250.0,149.0,34.0,21912200000,,,6934320000,,,513240000,,,62829000,2790210000,6596560000,10324100000,7533890000,7375490000,1092730000,1857160000,268072000,SMTO3,0.5886,9.47
ON NM,BOA SAFRA ON NM,Agropecuária,Agricultura,10.08,2025-10-24,9.56,13.16,4001600,1364050000.0,1652300000.0,2025-06-30,135322000.0,13.47,101.0,875.0,70.0,38.0,79.0,151.0,0.15,777.0,1060.0,3.35,0.75,10.0,1.34,0.8,0.89,0.43,0.58,0.75,321.0,63.0,54.0,3586820000,,,1353140000,,,101279000,,,5628000,564911000,2521790000,853164000,288253000,1940720000,155856000,125124000,18263000,SOJA3,0.2016,10.0
ON NM,SERENA ON NM,Energia Elétrica,Energia Elétrica,12.52,2025-10-24,5.28,12.52,55474000,7796590000.0,18371800000.0,2025-06-30,622731000.0,107.22,145.0,607.0,147.0,39.0,4825.0,-68.0,0.0,878.0,1429.0,5.67,0.12,8.64,2.84,2.43,0.13999999999999999,0.64,0.6900000000000001,0.13999999999999999,106.0,215.0,26.0,20046300000,,,5382920000,,,72713000,,,-36099000,1008830000,3074960000,11584000000,10575200000,5293960000,1285290000,1461700000,267704000,SRNA3,0.0,13.4
ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,14.42,2025-10-02,12.30,14.46,63075400,12461300000.0,14574000000.0,2025-06-30,864170000.0,15.3,1555.0,850.0,375.0,226.0,7640.0,-344.0,0.35,836.0,994.0,2.7600000000000002,0.94,0.93,5.71,4.41,2.45,2.66,3.05,10.16,118.0,335.0,60.0,5519520000,,,801593000,,,814288000,,,193376000,571787000,1091880000,2684460000,2112670000,3319560000,1465550000,880911000,372910000,STBP3,0.53691,13.91
ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,49.1,2025-10-24,47.48,64.87,228554000,62068200000.0,133324000000.0,2025-06-30,1264120000.0,7.94,144.0,467.0,121.0,39.0,227.0,-81.0,0.41,561.0,1003.0,0.76,6.19,34.12,3.7700000000000005,2.59,1.53,0.8300000000000001,1.0,1.81,316.0,212.0,32.0,159423000000,,,43137800000,,,7821420000,,,5004700000,20371400000,39909100000,91627200000,71255700000,51299400000,13295300000,13295900000,3202060000,SUZB3,0.32522,9.83
UNT,TAESA UNT,Energia Elétrica,Energia Elétrica,36.97,2025-10-24,29.93,36.97,58318900,12736100000.0,22148000000.0,2025-06-30,1033500000.0,7.11,167.0,535.0,295.0,59.0,2080.0,-119.0,0.8,917.0,930.0,0.29,5.2,22.1,6.18,5.51,4.15,1.1099999999999999,1.17,2.35,124.0,135.0,20.0,21504900000,,,7612370000,,,1791930000,,,510019000,896883000,3198270000,10308700000,9411830000,4320430000,2382110000,1261830000,653817000,TAEE11,0.56877,13.4
PN N2,TAESA PN N2,Energia Elétrica,Energia Elétrica,12.39,2025-10-24,10.14,12.39,1470370,12805000000.0,22216900000.0,2025-06-30,1033500000.0,7.15,168.0,538.0,296.0,60.0,2091.0,-120.0,0.8,920.0,933.0,0.29,1.73,7.37,6.18,5.51,4.15,1.1099999999999999,1.17,2.35,124.0,135.0,20.0,21504900000,,,7612370000,,,1791930000,,,510019000,896883000,3198270000,10308700000,9411830000,4320430000,2382110000,1261830000,653817000,TAEE4,0.57295,13.4
ON NM,Tenda ON NM,Construção Civil,Incorporações,23.15,2025-10-24,11.73,27.20,42143400,2837680000.0,3267150000.0,2025-06-30,122578000.0,7.34,241.0,573.0,78.0,49.0,153.0,-283.0,0.25,579.0,660.0,0.89,3.16,9.62,2.94,1.3699999999999999,1.04,0.85,1.04,3.28,203.0,101.0,62.0,5850580000,,,1179660000,,,386846000,,,203861000,761207000,3647390000,1190670000,429466000,3619360000,495067000,991483000,130399000,TEND3,0.18315,9.18
PN,TRACK FIELD PN,"Tecidos, Vestuário e Calçados",Vestuário,18.12,2025-10-24,8.32,18.12,10924500,2776310000.0,2898960000.0,2025-06-30,153218000.0,20.73,543.0,1465.0,298.0,337.0,719.0,1101.0,0.15,1396.0,1530.0,2.63,0.87,3.33,5.75,2.0300000000000002,1.44,2.3,2.6100000000000003,2.62,318.0,29.0,113.0,822781000,,,510935000,,,133898000,,,33984000,23674000,562662000,146322000,122648000,932503000,189524000,242091000,49477000,TFCO4,0.31241,20.73
ON NM,Tegma ON NM,Transporte,Transporte Rodoviário,35.68,2025-10-24,26.30,37.71,7104510,2354990000.0,2204900000.0,2025-06-30,66003000.0,8.41,237.0,654.0,107.0,169.0,468.0,677.0,0.76,567.0,612.0,2.12,4.24,15.05,2.16,1.6300000000000001,1.27,2.58,3.6100000000000003,2.82,303.0,20.0,158.0,1397080000,,,993359000,,,280135000,,,67119000,347151000,751456000,197063000,-150088000,2209010000,360231000,540540000,78996000,TGMA3,0.63955,10.2
ON NM,TOTVS ON NM,Programas e Serviços,Programas e Serviços,42.34,2025-10-24,25.88,46.02,113250000,25378700000.0,24977100000.0,2025-06-30,599402000.0,29.53,518.0,1200.0,451.0,283.0,1390.0,-4391.0,0.16,1016.0,1181.0,1.7899999999999998,1.43,8.17,6.99,3.7600000000000002,1.56,2.3600000000000003,3.18,1.75,236.0,35.0,63.0,8962550000,,,4897170000,,,859357000,,,188718000,2094240000,3169360000,1692700000,-401540000,5631210000,2115390000,1488070000,546209000,TOTS3,0.47373,31.79
ON NM,Trisul ON NM,Construção Civil,Incorporações,7.44,2025-10-24,4.04,7.99,3257730,1388440000.0,1786690000.0,2025-06-30,186618000.0,6.95,90.0,707.0,108.0,42.0,75.0,123.0,0.4,803.0,910.0,1.2,1.07,8.23,3.09,1.52,1.59,0.6,0.74,1.3,281.0,63.0,39.0,3292030000,,,1535000000,,,199919000,,,48029000,567173000,2862340000,965427000,398254000,1291090000,196430000,293667000,38263000,TRIS3,0.27813,9.18
ON NM,3TENTOS ON NM,Agropecuária,Agricultura,14.51,2025-10-24,11.04,16.90,13612800,7247710000.0,9465260000.0,2025-06-30,499498000.0,7.4,162.0,651.0,50.0,63.0,245.0,1249.0,0.13,776.0,851.0,3.38,1.96,8.98,1.77,0.77,0.6799999999999999,0.96,1.53,2.18,163.0,91.0,124.0,11584400000,,,4484860000,,,978809000,,,331555000,1846790000,7670250000,4064340000,2217550000,14412100000,1112490000,3562880000,309358000,TTEN3,0.09624,10.0
ON,ULTRAPAR PARTICIPAÇÕES SA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",21.18,2025-10-24,14.82,21.97,146413000,23633700000.0,38586200000.0,2025-06-30,1115850000.0,8.11,147.0,446.0,17.0,52.0,312.0,-228.0,0.35,584.0,729.0,0.77,2.61,14.4,0.71,0.38,0.22000000000000003,1.16,1.3699999999999999,1.81,182.0,118.0,303.0,45608200000,,,16073700000,,,2914560000,,,1088360000,3985520000,16857100000,18938000000,14952500000,138143000000,5295010000,34055000000,959800000,UGPA3,0.28402,5.12
ON NM,VAMOS ON NM,Diversos,Aluguel de carros,3.34,2025-10-24,2.90,5.92,52713300,3610650000.0,16027100000.0,2025-06-30,1081030000.0,14.01,139.0,132.0,94.0,16.0,139.0,-26.0,0.82,445.0,588.0,1.95,0.24,2.41,7.37,7.109999999999999,0.67,1.21,1.54,0.99,180.0,633.0,17.0,22443400000,,,2604220000,,,257706000,,,92765000,4067930000,5867400000,16484400000,12416500000,3833630000,2725130000,1411670000,675129000,VAMO3,1.14117,16.81
ON,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",24.1,2025-10-24,15.54,24.95,245812000,26967900000.0,48035900000.0,2025-06-30,1119000000.0,4.79,129.0,641.0,15.0,45.0,215.0,-185.0,0.45,963.0,1142.0,1.3,5.03,18.63,0.45999999999999996,0.22999999999999998,0.31,0.7,0.8,2.7,209.0,122.0,303.0,59651000000,,,20849000000,,,5627000000,,,301000000,4351000000,24050000000,25419000000,21068000000,180968000000,4205000000,45545000000,786000000,VBBR3,0.21561,5.12
ON NM,VIVARA S.A. ON NM,"Tecidos, Vestuário e Calçados",Acessórios,30.67,2025-10-24,16.10,30.67,74907100,7244190000.0,7534420000.0,2025-06-30,236198000.0,10.77,262.0,1026.0,261.0,169.0,353.0,614.0,0.22000000000000003,878.0,1067.0,2.2,2.85,11.7,7.109999999999999,2.55,2.42,1.65,1.8,2.44,413.0,17.0,65.0,4286200000,,,2762510000,,,672750000,,,151089000,186085000,2704470000,476314000,290229000,2774300000,706291000,761021000,196156000,VIVA3,0.23675,10.77
ON,TELEF BRASIL ON,Telecomunicações,Telecomunicações,34.4,2025-10-24,22.34,34.66,123380000,110993000000.0,121855000000.0,2025-06-30,3226550000.0,19.03,163.0,1292.0,193.0,88.0,-23779.0,-347.0,0.5,520.0,1419.0,0.76,1.81,21.1,4.4,1.49,1.01,0.6799999999999999,0.8,0.86,98.0,30.0,46.0,126476000000,,,68076700000,,,5833150000,,,1344450000,9454100000,26337400000,20315700000,10861600000,57655800000,8589350000,14645100000,2360750000,VIVT3,0.95028,18.93
ON NM,VALID ON NM,Serviços Diversos,Serviços Diversos,21.68,2025-10-24,19.50,28.02,5004290,1774200000.0,1835070000.0,2025-06-30,81836000.0,6.32,102.0,526.0,82.0,62.0,187.0,594.0,1.04,416.0,544.0,0.06,3.43,21.29,3.4,1.56,1.31,1.1800000000000002,1.55,1.61,304.0,33.0,75.0,2863660000,,,1742330000,,,280878000,,,54054000,512519000,1412080000,573385000,60866000,2159640000,337142000,490099000,63624000,VLID3,0.65735,21.45
ON NM,VITRUEDUCA ON NM,Diversos,Serviços Educacionais,10.98,2025-10-24,5.38,12.09,4175520,1473210000.0,3266490000.0,2025-06-30,134172000.0,3.72,54.0,190.0,67.0,25.0,249.0,-65.0,0.02,329.0,422.0,1.1,2.95,20.39,6.49,3.5,1.7899999999999998,1.3,1.47,1.45,266.0,86.0,37.0,5946300000,,,2736280000,,,395764000,,,127296000,558642000,950109000,2351920000,1793280000,2212700000,774688000,606006000,257873000,VTRU3,0.00744,8.7
ON,VULCABRAS S/A. ON,"Tecidos, Vestuário e Calçados",Calçados,21.87,2025-10-24,13.32,21.87,22160000,6025970000.0,6168790000.0,2025-06-30,275536000.0,7.53,256.0,1070.0,183.0,180.0,409.0,466.0,1.19,905.0,1095.0,1.89,2.91,8.55,4.14,1.7100000000000002,2.44,1.6800000000000002,1.8800000000000001,3.4,282.0,15.0,98.0,3348380000,,,2356050000,,,800743000,,,353285000,211761000,2284440000,354577000,142816000,3286310000,563390000,894811000,146874000,VULC3,0.89434,15.23
ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",41.37,2025-10-24,35.50,57.50,352884000,173643000000.0,170159000000.0,2025-09-30,4197320000.0,26.79,775.0,1941.0,420.0,418.0,1481.0,1996.0,0.2,1719.0,1902.0,1.6199999999999999,1.54,5.34,3.34,2.16,1.65,2.16,2.85,2.8899999999999997,178.0,17.0,100.0,41494500000,,,22408800000,,,6482750000,,,1650470000,7335310000,26776100000,3850850000,-3484460000,41379600000,8945350000,10271500000,2257560000,WEGE3,0.53727,26.59
ON,WIZ CO ON,Previdência e Seguros,Corretoras de Seguros,8.21,2025-10-24,4.96,8.73,3232340,1312840000.0,1410460000.0,2025-06-30,159907000.0,7.1,204.0,192.0,97.0,54.0,-3280.0,-211.0,0.3,177.0,206.0,1.2,1.16,4.02,6.18,5.05,2.4899999999999998,2.8,3.4899999999999998,2.88,93.0,63.0,55.0,2445100000,,,642431000,,,184791000,,,49397000,304768000,556281000,402390000,97622000,1355780000,684158000,358073000,185785000,WIZC3,0.21233,7.1
ON,YDUQS PART ON,Diversos,Serviços Educacionais,13.25,2025-10-24,7.61,17.60,46597800,3631680000.0,8123140000.0,2025-06-30,274089000.0,12.16,119.0,427.0,67.0,38.0,730.0,-85.0,0.43,488.0,956.0,0.72,1.09,11.1,6.1,1.56,0.55,0.89,1.0,0.9800000000000001,128.0,174.0,57.0,9549660000,,,3041060000,,,298667000,,,3528000,792888000,2244910000,5284350000,4491460000,5437240000,849702000,1378250000,167061000,YDUQ3,0.52271,8.7
